,pyname,name,range
227,b_lfo_1_rate,B LFO 1 Rate,"(0.008, 512.0, None)"
228,a_osc_3_shape,A Osc 3 Shape,"(-100.0, 100.0, 0.2)"
229,fx_s2_param_1,FX S2 Param 1,"(None, None, None)"
230,a_lfo_1_unipolar,A LFO 1 Unipolar,"(False, True, 1)"
231,a_osc_1_type,A Osc 1 Type,"(None, None, None)"
232,a_osc_drift,A Osc Drift,"(0.0, 100.0, 0.1)"
233,b_lfo_4_phase,B LFO 4 Phase,"(0.0, 100.0, 0.1)"
234,b_ring_modulation_1x2_mute,B Ring Modulation 1x2 Mute,"(False, True, 1)"
235,b_amp_eg_attack_shape,B Amp EG Attack Shape,"(None, None, None)"
236,a_lfo_6_deform,A LFO 6 Deform,"(-100.0, 100.0, 0.2)"
237,b_lfo_3_rate,B LFO 3 Rate,"(0.008, 512.0, None)"
238,b_lfo_6_unipolar,B LFO 6 Unipolar,"(False, True, 1)"
239,a_filter_1_cutoff,A Filter 1 Cutoff,"(13.75, 25087.71, None)"
240,a_lfo_6_decay,A LFO 6 Decay,"(None, None, None)"
241,b_lfo_6_release,B LFO 6 Release,"(None, None, None)"
242,a_scene_lfo_6_amplitude,A Scene LFO 6 Amplitude,"(0.0, 100.0, 0.1)"
243,b_osc_2_retrigger,B Osc 2 Retrigger,"(False, True, 1)"
244,a_noise_solo,A Noise Solo,"(False, True, 1)"
245,b_scene_lfo_6_attack,B Scene LFO 6 Attack,"(None, None, None)"
246,fx_b4_param_7,FX B4 Param 7,"(None, None, None)"
247,fx_s4_param_7,FX S4 Param 7,"(None, None, None)"
248,a_lfo_4_delay,A LFO 4 Delay,"(None, None, None)"
249,a_lfo_2_rate,A LFO 2 Rate,"(0.008, 512.0, None)"
250,a_portamento,A Portamento,"(None, None, None)"
251,b_scene_lfo_3_deform,B Scene LFO 3 Deform,"(-100.0, 100.0, 0.2)"
252,fx_a1_param_7,FX A1 Param 7,"(None, None, None)"
253,a_scene_lfo_2_amplitude,A Scene LFO 2 Amplitude,"(0.0, 100.0, 0.1)"
254,b_amp_eg_decay_shape,B Amp EG Decay Shape,"(None, None, None)"
255,fx_b3_param_8,FX B3 Param 8,"(None, None, None)"
256,fx_b3_param_2,FX B3 Param 2,"(None, None, None)"
257,a_lfo_4_decay,A LFO 4 Decay,"(None, None, None)"
258,b_lfo_4_hold,B LFO 4 Hold,"(None, None, None)"
259,a_osc_3_volume,A Osc 3 Volume,"(-inf, 0.0, None)"
260,b_scene_lfo_1_delay,B Scene LFO 1 Delay,"(None, None, None)"
261,a_pitch_bend_up_range,A Pitch Bend Up Range,"(None, None, None)"
262,b_pre_filter_gain,B Pre-Filter Gain,"(-48.0, 48.0, None)"
263,b_filter_1_feg_mod_amount,B Filter 1 FEG Mod Amount,"(None, None, None)"
264,fx_b1_param_10,FX B1 Param 10,"(None, None, None)"
265,a_lfo_5_amplitude,A LFO 5 Amplitude,"(0.0, 100.0, 0.1)"
266,a_scene_lfo_4_sustain,A Scene LFO 4 Sustain,"(0.0, 100.0, 0.1)"
267,b_filter_configuration,B Filter Configuration,"(None, None, None)"
268,b_scene_lfo_4_rate,B Scene LFO 4 Rate,"(0.008, 512.0, None)"
269,b_amp_eg_decay,B Amp EG Decay,"(None, None, None)"
270,a_osc_3_unison_voices,A Osc 3 Unison Voices,"(None, None, None)"
271,a_osc_1_unison_voices,A Osc 1 Unison Voices,"(None, None, None)"
272,b_send_fx_4_level,B Send FX 4 Level,"(-inf, 12.0, None)"
273,fx_b4_param_9,FX B4 Param 9,"(None, None, None)"
274,b_filter_eg_release,B Filter EG Release,"(None, None, None)"
275,b_lfo_5_deform,B LFO 5 Deform,"(-100.0, 100.0, 0.2)"
276,fx_chain_bypass,FX Chain Bypass,"(None, None, None)"
277,a_lfo_4_sustain,A LFO 4 Sustain,"(0.0, 100.0, 0.1)"
278,fx_g4_param_12,FX G4 Param 12,"(None, None, None)"
279,a_pitch,A Pitch,"(None, None, None)"
280,b_scene_lfo_3_hold,B Scene LFO 3 Hold,"(None, None, None)"
281,a_lfo_3_rate,A LFO 3 Rate,"(0.008, 512.0, None)"
282,a_waveshaper_drive,A Waveshaper Drive,"(-24.0, 24.0, None)"
283,a_lfo_5_phase,A LFO 5 Phase,"(0.0, 100.0, 0.1)"
284,b_lfo_2_release,B LFO 2 Release,"(None, None, None)"
285,fx_a3_fx_type,FX A3 FX Type,"(None, None, None)"
286,a_osc_1_solo,A Osc 1 Solo,"(False, True, 1)"
287,a_scene_lfo_6_phase,A Scene LFO 6 Phase,"(0.0, 100.0, 0.1)"
288,fx_a2_param_4,FX A2 Param 4,"(None, None, None)"
289,fx_s3_param_5,FX S3 Param 5,"(None, None, None)"
290,a_scene_lfo_2_decay,A Scene LFO 2 Decay,"(None, None, None)"
291,b_noise_volume,B Noise Volume,"(-inf, 0.0, None)"
292,a_osc_2_unison_voices,A Osc 2 Unison Voices,"(None, None, None)"
293,a_scene_lfo_6_unipolar,A Scene LFO 6 Unipolar,"(False, True, 1)"
294,fx_b3_param_6,FX B3 Param 6,"(None, None, None)"
295,a_lfo_6_rate,A LFO 6 Rate,"(0.008, 512.0, None)"
296,a_fm_depth,A FM Depth,"(-48.0, 24.0, None)"
297,fx_s3_param_4,FX S3 Param 4,"(None, None, None)"
298,b_lfo_4_delay,B LFO 4 Delay,"(None, None, None)"
